BEROEPSGROEP;BEROEP_LABEL;BEROEPSSECTOR
MAAT. DIENSTEN;Maat. Diensten;
ZONDER;Zonder werk;
ONBEKEND;Onbekend/particulier;
ECON. DIENSTEN;Econ. Diensten;
NIJVERHEID;Nijverheid;
LOS;Los werk;
LANDBOUW;Landbouw;
Huiselijke diensten;Huiselijke diensten;MAAT. DIENSTEN
Onbekend/particulier;Onbekend/particulier;ONBEKEND
Studenten, leerlingen;Studenten, leerlingen;ONBEKEND
Verkeer;Verkeer;ECON. DIENSTEN
Kleding;Kleding;NIJVERHEID
Voeding;Voeding;NIJVERHEID
Leer;Leer;NIJVERHEID
Staatsdienst;Staatsdienst;MAAT. DIENSTEN
Losse werklieden en diversen;Losse werklieden en diversen;LOS
Onderwijs;Onderwijs;MAAT. DIENSTEN
Vrije beroepen;Vrije beroepen;MAAT. DIENSTEN
Bouw;Bouw;NIJVERHEID
Warenhandel;Warenhandel;ECON. DIENSTEN
Metaal;Metaal;NIJVERHEID
Universiteit;Universiteit;MAAT. DIENSTEN
Stadsdienst;Stadsdienst;MAAT. DIENSTEN
Gepensioneerd;Gepensioneerden;ZONDER
Landbouw;Landbouw;LANDBOUW
Textiel;Textiel;NIJVERHEID
Hout;Hout;NIJVERHEID
Tussenhandel;Tussenhandel;ECON. DIENSTEN
Aardewerk;Aardewerk;NIJVERHEID
Boekdrukken;Boekdrukken;NIJVERHEID
Verpleging en verzorging;Verpleging en verzorging;MAAT. DIENSTEN
Kunst;Kunst;NIJVERHEID
Chemie;Chemie;NIJVERHEID
Scheeps- en rijtuigbouw;Scheeps- en rijtuigbouw;NIJVERHEID
Kerkelijke dienst;Kerkelijke dienst;MAAT. DIENSTEN
Verpleging en verzorging;Verpleging en verzorging;MAAT. DIENSTEN
Werktuigen;Werktuigen;NIJVERHEID
Verlichting;Verlichting;NIJVERHEID
Warenhandel;Warenhandel;ECON. DIENSTEN
Hulpbedrijven handel;Hulpbedrijven handel;ECON. DIENSTEN
Onbekend/particulier;Onbekend/particulier;ONBEKEND
Water/Baljuwschapsdienst;Water/Baljuwschapsdienst;MAAT. DIENSTEN
Begrafeniswezen;Begrafeniswezen;MAAT. DIENSTEN
Papier;Papier;NIJVERHEID
Verzekeringswezen;Verzekeringswezen;ECON. DIENSTEN
Krediet en bankwezen;Krediet en bankwezen;ECON. DIENSTEN
Gewestelijke provinciale dienst;Gewestelijke provinciale dienst;MAAT. DIENSTEN
Winning van metaal, turf, zout etc.;Winning van metaal, turf, zout etc.;NIJVERHEID
Visserij;Visserij;LANDBOUW
Textiel;Textiel;NIJVERHEID
